finger_0_x, finger_0_y, finger_0_z, finger_1_x, finger_1_y, finger_1_z, finger_2_x, finger_2_y, finger_2_z, finger_3_x, finger_3_y, finger_3_z, imp00, imp01, imp02, imp03, imp10, imp11, imp12, imp13, imp20, imp21, imp22, imp23, imp30, imp31, imp32, imp33, trq00, trq01, trq02, trq03, trq10, trq11, trq12, trq13, trq20, trq21, trq22, trq23, trq30, trq31, trq32, trq33, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 2.92974e-16, 0.00235753, 0.00188311, 0.000617175, 3.58911e-32, 0.00232112, 0.00186331, 0.000516108, 2.0414e-19, 0.00235486, 0.00188165, 0.000616575, 0.00610104, 7.93031e-18, 0.00210915, 0.000328924, 3.49805e-16, 0.00281193, 0.00226102, 0.000839488, 4.2186e-32, 0.00272539, 0.00220258, 0.000711489, 2.4319e-19, 0.00280552, 0.0022567, 0.000837813, 0.0126088, 1.63865e-17, 0.00456997, 0.000679777, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 3.03077e-16, 0.0024363, 0.00195899, 0.000727346, 3.71288e-32, 0.00239868, 0.00193854, 0.000626197, 2.10945e-19, 0.00243353, 0.00195748, 0.000726728, 0.00630441, 8.19323e-18, 0.00228499, 0.000339889, 3.61466e-16, 0.00290284, 0.00234856, 0.000966407, 4.35922e-32, 0.00281351, 0.00228801, 0.000836337, 2.51034e-19, 0.00289622, 0.00234408, 0.000964565, 0.0130156, 1.69284e-17, 0.00492092, 0.000701706, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 3.1318e-16, 0.00251507, 0.00203483, 0.000837311, 3.83665e-32, 0.00247623, 0.00201373, 0.000736079, 2.1775e-19, 0.00251221, 0.00203328, 0.000836673, 0.00650778, 8.46419e-18, 0.00246046, 0.000350853, 3.73126e-16, 0.00299375, 0.00243606, 0.00109309, 4.49984e-32, 0.00290163, 0.00237341, 0.000960952, 2.58879e-19, 0.00298693, 0.00243143, 0.00109108, 0.0134223, 1.74649e-17, 0.00527113, 0.000723634, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 3.23283e-16, 0.00259384, 0.00211065, 0.000947069, 3.96041e-32, 0.00255378, 0.00208889, 0.000845755, 2.24555e-19, 0.00259089, 0.00210905, 0.000946413, 0.00671115, 8.73247e-18, 0.00263557, 0.000361817, 3.84787e-16, 0.00308467, 0.00252353, 0.00121953, 4.64047e-32, 0.00298974, 0.00245877, 0.00108533, 2.66724e-19, 0.00307763, 0.00251873, 0.00121735, 0.013829, 1.798e-17, 0.00562062, 0.000745562, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 3.33385e-16, 0.00267261, 0.00218643, 0.00105662, 4.08418e-32, 0.00263134, 0.00216401, 0.000955225, 2.31359e-19, 0.00266957, 0.00218478, 0.00105595, 0.00691452, 8.99002e-18, 0.00281031, 0.000372781, 3.96447e-16, 0.00317558, 0.00261095, 0.00134574, 4.78109e-32, 0.00307786, 0.00254408, 0.00120948, 2.74569e-19, 0.00316833, 0.002606, 0.00134339, 0.0142358, 1.85112e-17, 0.00596938, 0.00076749, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 3.43488e-16, 0.00275137, 0.00226217, 0.00116597, 4.20795e-32, 0.00270889, 0.0022391, 0.00106449, 2.38164e-19, 0.00274825, 0.00226047, 0.00116527, 0.00711789, 9.25561e-18, 0.00298469, 0.000383745, 4.08107e-16, 0.00326648, 0.00269833, 0.0014717, 4.92172e-32, 0.00316597, 0.00262936, 0.00133339, 2.82414e-19, 0.00325904, 0.00269323, 0.0014692, 0.0146425, 1.90317e-17, 0.00631742, 0.000789419, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 3.53591e-16, 0.00283014, 0.00233788, 0.00127511, 4.33171e-32, 0.00278644, 0.00231416, 0.00117355, 2.44969e-19, 0.00282692, 0.00233613, 0.0012744, 0.00732125, 9.51584e-18, 0.00315871, 0.000394709, 4.19768e-16, 0.00335739, 0.00278567, 0.00159744, 5.06234e-32, 0.00325409, 0.0027146, 0.00145708, 2.90258e-19, 0.00334974, 0.00278041, 0.00159476, 0.0150492, 1.95468e-17, 0.00666473, 0.000811347, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 3.63694e-16, 0.0029089, 0.00241355, 0.00138404, 4.45548e-32, 0.00286399, 0.00238918, 0.0012824, 2.51773e-19, 0.0029056, 0.00241176, 0.00138331, 0.00752462, 9.77339e-18, 0.00333236, 0.000405674, 4.31428e-16, 0.0034483, 0.00287297, 0.00172293, 5.20297e-32, 0.0033422, 0.0027998, 0.00158052, 2.98103e-19, 0.00344044, 0.00286756, 0.00172009, 0.015456, 2.0078e-17, 0.00701132, 0.000833275, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 3.73797e-16, 0.00298767, 0.00248919, 0.00149278, 4.57925e-32, 0.00294154, 0.00246417, 0.00139105, 2.58578e-19, 0.00298427, 0.00248735, 0.00149203, 0.00772799, 1.0039e-17, 0.00350566, 0.000416638, 4.43089e-16, 0.00353921, 0.00296024, 0.00184819, 5.34359e-32, 0.00343031, 0.00288497, 0.00170374, 3.05948e-19, 0.00353114, 0.00295467, 0.00184519, 0.0158627, 2.06253e-17, 0.00735719, 0.000855204, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 3.83899e-16, 0.00306643, 0.0025648, 0.0016013, 4.70301e-32, 0.00301909, 0.00253912, 0.0014995, 2.65383e-19, 0.00306295, 0.00256291, 0.00160054, 0.00793136, 1.03126e-17, 0.00367859, 0.000427602, 4.54749e-16, 0.00363011, 0.00304746, 0.00197322, 5.48422e-32, 0.00351842, 0.00297009, 0.00182673, 3.13793e-19, 0.00362184, 0.00304174, 0.00197005, 0.0162695, 2.11511e-17, 0.00770234, 0.000877132, 
